~iteration~,metric_loss,total_loss
0,0.05275838077068329,0.05275838077068329
50,-0.06143562123179436,-0.06143562123179436
100,-0.028016969561576843,-0.028016969561576843
146,-0.16247157752513885,-0.16247157752513885
196,-0.11460702121257782,-0.11460702121257782
246,-0.13349571824073792,-0.13349571824073792
292,-0.08940310031175613,-0.08940310031175613
342,-0.18436037003993988,-0.18436037003993988
392,-0.18974465131759644,-0.18974465131759644
438,-0.16735467314720154,-0.16735467314720154
488,-0.178146630525589,-0.178146630525589
538,-0.1431012749671936,-0.1431012749671936
584,-0.2065860629081726,-0.2065860629081726
634,-0.10201011598110199,-0.10201011598110199
684,-0.17373262345790863,-0.17373262345790863
730,-0.20669624209403992,-0.20669624209403992
780,-0.18167607486248016,-0.18167607486248016
830,-0.1801891326904297,-0.1801891326904297
876,-0.19379885494709015,-0.19379885494709015
926,-0.18614791333675385,-0.18614791333675385
976,-0.19175568222999573,-0.19175568222999573
1022,-0.20001505315303802,-0.20001505315303802
1072,-0.19624045491218567,-0.19624045491218567
1122,-0.1810074895620346,-0.1810074895620346
1168,-0.17445695400238037,-0.17445695400238037
1218,-0.14733362197875977,-0.14733362197875977
1268,-0.2151462584733963,-0.2151462584733963
1314,-0.19037982821464539,-0.19037982821464539
1364,-0.14881104230880737,-0.14881104230880737
1414,-0.1985456645488739,-0.1985456645488739
1460,-0.23019427061080933,-0.23019427061080933
1510,-0.18392828106880188,-0.18392828106880188
1560,-0.19910381734371185,-0.19910381734371185
1606,-0.18442639708518982,-0.18442639708518982
1656,-0.23516882956027985,-0.23516882956027985
1706,-0.23219986259937286,-0.23219986259937286
1752,-0.19403588771820068,-0.19403588771820068
1802,-0.24198518693447113,-0.24198518693447113
1852,-0.20256125926971436,-0.20256125926971436
1898,-0.23006944358348846,-0.23006944358348846
1948,-0.18444696068763733,-0.18444696068763733
1998,-0.2051984965801239,-0.2051984965801239
