~iteration~,metric_loss,total_loss
0,0.09144024550914764,0.09144024550914764
50,-0.06711523234844208,-0.06711523234844208
100,-0.2264176905155182,-0.2264176905155182
146,-0.03950735181570053,-0.03950735181570053
196,-0.4084946811199188,-0.4084946811199188
246,-0.3431050777435303,-0.3431050777435303
292,-0.32139912247657776,-0.32139912247657776
342,-0.2830224633216858,-0.2830224633216858
392,-0.3639489710330963,-0.3639489710330963
438,-0.20014818012714386,-0.20014818012714386
488,-0.3217003643512726,-0.3217003643512726
538,-0.3643686771392822,-0.3643686771392822
584,-0.24721868336200714,-0.24721868336200714
634,-0.3728716969490051,-0.3728716969490051
684,-0.32781872153282166,-0.32781872153282166
730,-0.44123297929763794,-0.44123297929763794
780,-0.4666198194026947,-0.4666198194026947
830,-0.4383503198623657,-0.4383503198623657
876,-0.40867236256599426,-0.40867236256599426
926,-0.2696736454963684,-0.2696736454963684
976,-0.36992016434669495,-0.36992016434669495
1022,-0.42476367950439453,-0.42476367950439453
1072,-0.4462616741657257,-0.4462616741657257
1122,-0.4086107313632965,-0.4086107313632965
1168,-0.37619978189468384,-0.37619978189468384
1218,-0.4278346300125122,-0.4278346300125122
1268,-0.4018815755844116,-0.4018815755844116
1314,-0.41192206740379333,-0.41192206740379333
1364,-0.4313245713710785,-0.4313245713710785
1414,-0.4348280131816864,-0.4348280131816864
