~iteration~,metric_loss,total_loss
0,0.054044459015131,0.054044459015131
50,-0.006717190612107515,-0.006717190612107515
100,-0.07345815002918243,-0.07345815002918243
146,0.007782420143485069,0.007782420143485069
196,-0.09984738379716873,-0.09984738379716873
246,-0.10329186916351318,-0.10329186916351318
292,-0.06882055103778839,-0.06882055103778839
342,-0.07590419799089432,-0.07590419799089432
392,-0.11873652040958405,-0.11873652040958405
438,-0.048579227179288864,-0.048579227179288864
488,-0.09705899655818939,-0.09705899655818939
538,-0.120033860206604,-0.120033860206604
584,-0.05514772981405258,-0.05514772981405258
634,-0.11157948523759842,-0.11157948523759842
684,-0.10880722850561142,-0.10880722850561142
730,-0.1312689632177353,-0.1312689632177353
780,-0.13837727904319763,-0.13837727904319763
830,-0.13479048013687134,-0.13479048013687134
876,-0.1040566936135292,-0.1040566936135292
926,-0.06283681839704514,-0.06283681839704514
976,-0.11601217091083527,-0.11601217091083527
1022,-0.12459442019462585,-0.12459442019462585
1072,-0.14163726568222046,-0.14163726568222046
1122,-0.1283337026834488,-0.1283337026834488
1168,-0.10200216621160507,-0.10200216621160507
1218,-0.11989178508520126,-0.11989178508520126
1268,-0.11877234280109406,-0.11877234280109406
1314,-0.11263406276702881,-0.11263406276702881
1364,-0.13500872254371643,-0.13500872254371643
1414,-0.12426750361919403,-0.12426750361919403
1460,-0.13550309836864471,-0.13550309836864471
1510,-0.09658864140510559,-0.09658864140510559
1560,-0.13076601922512054,-0.13076601922512054
1606,-0.12846598029136658,-0.12846598029136658
1656,-0.13445574045181274,-0.13445574045181274
1706,-0.07067294418811798,-0.07067294418811798
1752,-0.1398632973432541,-0.1398632973432541
1802,-0.11102460324764252,-0.11102460324764252
1852,-0.10819706320762634,-0.10819706320762634
1898,-0.1311517059803009,-0.1311517059803009
1948,-0.13345487415790558,-0.13345487415790558
1998,-0.11892988532781601,-0.11892988532781601
2044,-0.11995506286621094,-0.11995506286621094
2094,-0.11013913154602051,-0.11013913154602051
2144,-0.1418372392654419,-0.1418372392654419
2190,-0.13537873327732086,-0.13537873327732086
2240,-0.12121434509754181,-0.12121434509754181
2290,-0.13660824298858643,-0.13660824298858643
2336,-0.1208777204155922,-0.1208777204155922
2386,-0.13734163343906403,-0.13734163343906403
2436,-0.15026095509529114,-0.15026095509529114
2482,-0.13217537105083466,-0.13217537105083466
2532,-0.14068545401096344,-0.14068545401096344
2582,-0.11441023647785187,-0.11441023647785187
2628,-0.13326521217823029,-0.13326521217823029
2678,-0.14119505882263184,-0.14119505882263184
2728,-0.1422576904296875,-0.1422576904296875
2774,-0.09974353760480881,-0.09974353760480881
2824,-0.12162116914987564,-0.12162116914987564
2874,-0.13978244364261627,-0.13978244364261627
2920,-0.14038901031017303,-0.14038901031017303
2970,-0.13592515885829926,-0.13592515885829926
3020,-0.14374808967113495,-0.14374808967113495
