~iteration~,metric_loss,total_loss
0,0.09015420079231262,0.09015420079231262
50,-0.12147679179906845,-0.12147679179906845
100,-0.35180944204330444,-0.35180944204330444
146,-0.1035284772515297,-0.1035284772515297
196,-0.8334677815437317,-0.8334677815437317
246,-0.6225506067276001,-0.6225506067276001
292,-0.6738993525505066,-0.6738993525505066
342,-0.5985835790634155,-0.5985835790634155
392,-0.7460129261016846,-0.7460129261016846
438,-0.4165559709072113,-0.4165559709072113
488,-0.6952202916145325,-0.6952202916145325
538,-0.7526674866676331,-0.7526674866676331
584,-0.5319874286651611,-0.5319874286651611
634,-0.6623787879943848,-0.6623787879943848
684,-0.3955025374889374,-0.3955025374889374
730,-0.7354215383529663,-0.7354215383529663
780,-0.7793497443199158,-0.7793497443199158
830,-0.7872955799102783,-0.7872955799102783
876,-0.8232383728027344,-0.8232383728027344
926,-0.5256440043449402,-0.5256440043449402
976,-0.6324065327644348,-0.6324065327644348
1022,-0.7946088314056396,-0.7946088314056396
1072,-0.6196913123130798,-0.6196913123130798
1122,-0.675373911857605,-0.675373911857605
1168,-0.7605761885643005,-0.7605761885643005
1218,-0.7727912068367004,-0.7727912068367004
1268,-0.6698039770126343,-0.6698039770126343
1314,-0.7099624276161194,-0.7099624276161194
1364,-0.6583214402198792,-0.6583214402198792
1414,-0.8247553110122681,-0.8247553110122681
1460,-0.7887083292007446,-0.7887083292007446
1510,-0.796008825302124,-0.796008825302124
1560,-0.8407418727874756,-0.8407418727874756
1606,-0.8110207319259644,-0.8110207319259644
1656,-0.8407278060913086,-0.8407278060913086
1706,-0.354377418756485,-0.354377418756485
