~iteration~,metric_loss,total_loss
0,0.07796269655227661,0.07796269655227661
50,-0.33578309416770935,-0.33578309416770935
100,-0.23298722505569458,-0.23298722505569458
146,-0.6874051094055176,-0.6874051094055176
196,-0.4322839677333832,-0.4322839677333832
246,-0.5355286598205566,-0.5355286598205566
292,-0.37818005681037903,-0.37818005681037903
342,-0.6655315160751343,-0.6655315160751343
392,-0.6623061895370483,-0.6623061895370483
438,-0.5872500538825989,-0.5872500538825989
488,-0.7016163468360901,-0.7016163468360901
538,-0.6196558475494385,-0.6196558475494385
584,-0.7380281686782837,-0.7380281686782837
634,-0.5001658201217651,-0.5001658201217651
684,-0.6343348622322083,-0.6343348622322083
730,-0.7588589787483215,-0.7588589787483215
780,-0.7314451336860657,-0.7314451336860657
830,-0.7118993401527405,-0.7118993401527405
876,-0.7359205484390259,-0.7359205484390259
926,-0.7284039258956909,-0.7284039258956909
976,-0.705497682094574,-0.705497682094574
1022,-0.7774658203125,-0.7774658203125
1072,-0.6459442377090454,-0.6459442377090454
1122,-0.7036716938018799,-0.7036716938018799
1168,-0.6526963114738464,-0.6526963114738464
1218,-0.5368523001670837,-0.5368523001670837
1268,-0.8329861760139465,-0.8329861760139465
1314,-0.7591415643692017,-0.7591415643692017
1364,-0.679287314414978,-0.679287314414978
1414,-0.7073454856872559,-0.7073454856872559
