~iteration~,metric_loss,total_loss
0,0.05072375014424324,0.05072375014424324
50,-0.022157663479447365,-0.022157663479447365
100,-0.09977192431688309,-0.09977192431688309
146,-0.004314518067985773,-0.004314518067985773
196,-0.16061319410800934,-0.16061319410800934
246,-0.14562591910362244,-0.14562591910362244
292,-0.1219523698091507,-0.1219523698091507
342,-0.11668689548969269,-0.11668689548969269
392,-0.16012275218963623,-0.16012275218963623
438,-0.08011412620544434,-0.08011412620544434
488,-0.1343764066696167,-0.1343764066696167
538,-0.16274498403072357,-0.16274498403072357
584,-0.09092037379741669,-0.09092037379741669
634,-0.16022269427776337,-0.16022269427776337
684,-0.14960318803787231,-0.14960318803787231
730,-0.18990707397460938,-0.18990707397460938
780,-0.20195485651493073,-0.20195485651493073
830,-0.19247305393218994,-0.19247305393218994
876,-0.16872337460517883,-0.16872337460517883
926,-0.11089533567428589,-0.11089533567428589
976,-0.16482266783714294,-0.16482266783714294
1022,-0.18470215797424316,-0.18470215797424316
1072,-0.20160111784934998,-0.20160111784934998
1122,-0.18284723162651062,-0.18284723162651062
1168,-0.15780797600746155,-0.15780797600746155
1218,-0.17969192564487457,-0.17969192564487457
1268,-0.17277412116527557,-0.17277412116527557
1314,-0.1685032993555069,-0.1685032993555069
1364,-0.19287410378456116,-0.19287410378456116
1414,-0.1836329996585846,-0.1836329996585846
1460,-0.19823966920375824,-0.19823966920375824
1510,-0.16330692172050476,-0.16330692172050476
1560,-0.19164671003818512,-0.19164671003818512
