~iteration~,metric_loss,total_loss
0,0.18440787494182587,0.18440787494182587
50,0.14484405517578125,0.14484405517578125
100,0.1378006935119629,0.1378006935119629
146,0.06934619694948196,0.06934619694948196
196,0.09898620843887329,0.09898620843887329
246,0.1267223060131073,0.1267223060131073
292,0.11077041923999786,0.11077041923999786
342,-0.01062827929854393,-0.01062827929854393
392,0.0769205093383789,0.0769205093383789
438,0.06212414428591728,0.06212414428591728
488,0.12324567884206772,0.12324567884206772
538,0.04070797935128212,0.04070797935128212
584,0.11066706478595734,0.11066706478595734
634,0.18565307557582855,0.18565307557582855
684,0.07080046832561493,0.07080046832561493
730,0.05568162351846695,0.05568162351846695
780,0.08913227170705795,0.08913227170705795
830,0.09769012778997421,0.09769012778997421
876,0.06359928846359253,0.06359928846359253
926,-0.03509929031133652,-0.03509929031133652
976,0.09141050279140472,0.09141050279140472
1022,0.08550401031970978,0.08550401031970978
1072,-0.04448425769805908,-0.04448425769805908
1122,0.04203524440526962,0.04203524440526962
1168,0.10228416323661804,0.10228416323661804
1218,0.03112434223294258,0.03112434223294258
1268,0.030602093786001205,0.030602093786001205
1314,-0.005099670961499214,-0.005099670961499214
1364,0.05088392272591591,0.05088392272591591
1414,0.03630993887782097,0.03630993887782097
1460,0.004167446866631508,0.004167446866631508
1510,-0.0347682349383831,-0.0347682349383831
1560,0.0239397082477808,0.0239397082477808
1606,0.06040363758802414,0.06040363758802414
1656,0.05215832591056824,0.05215832591056824
1706,-0.08725536614656448,-0.08725536614656448
1752,0.08716659247875214,0.08716659247875214
1802,-0.042033012956380844,-0.042033012956380844
1852,-0.018962077796459198,-0.018962077796459198
1898,0.06791388988494873,0.06791388988494873
1948,0.061390649527311325,0.061390649527311325
1998,0.014511341229081154,0.014511341229081154
2044,-0.003387575503438711,-0.003387575503438711
2094,0.019681310281157494,0.019681310281157494
2144,-0.025651870295405388,-0.025651870295405388
2190,0.055417243391275406,0.055417243391275406
2240,-0.011849608272314072,-0.011849608272314072
2290,-0.05914536863565445,-0.05914536863565445
2336,-0.0058005498722195625,-0.0058005498722195625
2386,0.05722168833017349,0.05722168833017349
2436,0.03929238021373749,0.03929238021373749
2482,0.03778648376464844,0.03778648376464844
2532,0.006506078876554966,0.006506078876554966
2582,0.03406776115298271,0.03406776115298271
2628,-0.07035171240568161,-0.07035171240568161
2678,0.00882649328559637,0.00882649328559637
2728,-0.06922077387571335,-0.06922077387571335
2774,0.020767265930771828,0.020767265930771828
2824,0.03539405018091202,0.03539405018091202
2874,-0.08020517975091934,-0.08020517975091934
2920,0.04194961115717888,0.04194961115717888
2970,-0.041354503482580185,-0.041354503482580185
3020,0.05309602990746498,0.05309602990746498
3066,0.06803487241268158,0.06803487241268158
3116,-0.10092491656541824,-0.10092491656541824
3166,-0.05759727582335472,-0.05759727582335472
3212,0.019291287288069725,0.019291287288069725
3262,0.12258897721767426,0.12258897721767426
3312,-0.05519688129425049,-0.05519688129425049
3358,-0.04708420857787132,-0.04708420857787132
3408,-0.06701510399580002,-0.06701510399580002
3458,-0.05270004644989967,-0.05270004644989967
3504,-0.03526576608419418,-0.03526576608419418
3554,-0.0014744848012924194,-0.0014744848012924194
3604,-0.14322343468666077,-0.14322343468666077
3650,0.08870198577642441,0.08870198577642441
3700,-0.0823337510228157,-0.0823337510228157
3750,-0.026747390627861023,-0.026747390627861023
3796,-0.023496193811297417,-0.023496193811297417
3846,-0.05971749871969223,-0.05971749871969223
3896,-0.07422055304050446,-0.07422055304050446
3942,0.06335648894309998,0.06335648894309998
3992,-0.016451947391033173,-0.016451947391033173
4042,-0.025862229987978935,-0.025862229987978935
4088,-0.19759805500507355,-0.19759805500507355
4138,-0.06946699321269989,-0.06946699321269989
4188,0.030395451933145523,0.030395451933145523
4234,-0.06838253885507584,-0.06838253885507584
4284,-0.03901950642466545,-0.03901950642466545
4334,0.011149832978844643,0.011149832978844643
4380,-0.04130923002958298,-0.04130923002958298
4430,-0.005252299830317497,-0.005252299830317497
4480,-0.015021644532680511,-0.015021644532680511
4526,-0.015614476054906845,-0.015614476054906845
4576,-0.1728692352771759,-0.1728692352771759
4626,-0.04408835992217064,-0.04408835992217064
4672,-0.04399482533335686,-0.04399482533335686
4722,-0.15749529004096985,-0.15749529004096985
4772,-0.048598237335681915,-0.048598237335681915
4818,-0.15958578884601593,-0.15958578884601593
4868,-0.0260163601487875,-0.0260163601487875
4918,-0.09981802850961685,-0.09981802850961685
4964,0.07325417548418045,0.07325417548418045
5014,-0.08937399089336395,-0.08937399089336395
5064,-0.011316816322505474,-0.011316816322505474
5110,-0.09031278640031815,-0.09031278640031815
5160,-0.04165268689393997,-0.04165268689393997
5210,-0.14803476631641388,-0.14803476631641388
5256,-0.10734377056360245,-0.10734377056360245
5306,-0.13865016400814056,-0.13865016400814056
5356,-0.05174565687775612,-0.05174565687775612
5402,-0.015654338523745537,-0.015654338523745537
5452,-0.11844297498464584,-0.11844297498464584
5502,-0.07992377132177353,-0.07992377132177353
5548,0.0006832464132457972,0.0006832464132457972
5598,-0.07970096170902252,-0.07970096170902252
5648,-0.1780693084001541,-0.1780693084001541
5694,-0.05007832124829292,-0.05007832124829292
5744,-0.041200365871191025,-0.041200365871191025
5794,-0.019724754616618156,-0.019724754616618156
5840,-0.037059321999549866,-0.037059321999549866
5890,-0.026799151673913002,-0.026799151673913002
5940,-0.20994333922863007,-0.20994333922863007
