~iteration~,p,power
0,2,1
50,2,1
100,2,1
146,2,1
196,2,1
246,2,1
292,2,1
342,2,1
392,2,1
438,2,1
488,2,1
538,2,1
584,2,1
634,2,1
684,2,1
730,2,1
780,2,1
830,2,1
876,2,1
926,2,1
976,2,1
1022,2,1
1072,2,1
1122,2,1
1168,2,1
1218,2,1
1268,2,1
