~iteration~,metric_loss,total_loss
0,0.048859838396310806,0.048859838396310806
50,-0.032571397721767426,-0.032571397721767426
100,-0.11756156384944916,-0.11756156384944916
146,-0.013086159713566303,-0.013086159713566303
196,-0.2071584314107895,-0.2071584314107895
246,-0.177183598279953,-0.177183598279953
292,-0.1617245078086853,-0.1617245078086853
342,-0.1442205160856247,-0.1442205160856247
392,-0.19002693891525269,-0.19002693891525269
438,-0.10292500257492065,-0.10292500257492065
488,-0.163336381316185,-0.163336381316185
538,-0.1903395652770996,-0.1903395652770996
584,-0.11877270042896271,-0.11877270042896271
634,-0.19428709149360657,-0.19428709149360657
684,-0.17601707577705383,-0.17601707577705383
730,-0.22981494665145874,-0.22981494665145874
780,-0.24350334703922272,-0.24350334703922272
830,-0.2293921709060669,-0.2293921709060669
876,-0.21084314584732056,-0.21084314584732056
926,-0.13942526280879974,-0.13942526280879974
976,-0.19528688490390778,-0.19528688490390778
1022,-0.22185495495796204,-0.22185495495796204
1072,-0.23726025223731995,-0.23726025223731995
1122,-0.2157236486673355,-0.2157236486673355
1168,-0.19475741684436798,-0.19475741684436798
1218,-0.22165831923484802,-0.22165831923484802
1268,-0.20748725533485413,-0.20748725533485413
1314,-0.21038438379764557,-0.21038438379764557
1364,-0.22725291550159454,-0.22725291550159454
1414,-0.22597157955169678,-0.22597157955169678
1460,-0.23790504038333893,-0.23790504038333893
1510,-0.20922474563121796,-0.20922474563121796
1560,-0.23322653770446777,-0.23322653770446777
1606,-0.22448821365833282,-0.22448821365833282
1656,-0.23615103960037231,-0.23615103960037231
1706,-0.11889401078224182,-0.11889401078224182
